id,name,type,latitude,longitude,date,hour,timestamp,temperature,salinity,ph,dis_oxy,enterococcus,status
SC-N1,CARCAMO MALECON,CONTROL,26.013386,-111.339279,2014-01-02,13:00:00,2014-01-02 13:00,19.95,31.8,7.69,6.08,20,1
SCS1,PUERTO ESCONDIDO,CONTROL,25.814849,-111.31232,2014-01-02,10:17:00,2014-01-02 10:17,19.09,31.8,7.65,6.08,0.99,1
SEN1,LA CANDELARIA,ESTERO,26.025014,-111.344708,2014-01-02,12:40:00,2014-01-02 12:40,22.35,31.8,7.31,6.08,95,1
SES1,ESTERO NOPOLO,RECREATIVO,25.930998,-111.356266,2014-01-02,10:53:00,2014-01-02 10:53,20.43,31.8,7.4,6.08,84,1
SRN1,LOS PANGONES,RECREATIVO,25.972378,-111.352629,2014-01-02,13:28:00,2014-01-02 13:28,28.81,31.8,7.66,6.08,31,1
SRN2,LA DARSENA,RECREATIVO,26.0165,-111.340808,2014-01-02,12:56:00,2014-01-02 12:56,19.98,31.8,7.65,6.08,0.99,1
SRN4,LA NEGRITA,RECREATIVO,26.022352,-111.344335,2014-01-02,12:48:00,2014-01-02 12:48,19.99,31.8,7.46,6.08,292,0
SRN5,MIL PALMAS,RECREATIVO,26.058156,-111.3283,2014-01-02,12:26:00,2014-01-02 12:26,20.25,31.8,7.61,6.08,20,1
SRN6,LA PICAZON,RECREATIVO,26.082873,-111.323868,2014-01-02,12:07:00,2014-01-02 12:07,20.04,31.8,7.6,6.08,908,0
SRS1,ENSENADA BLANCA,RECREATIVO,25.721483,-111.234901,2014-01-02,9:49:00,2014-01-02 9:49,18.46,31.8,7.59,6.08,0.99,1
SRS4,JUNCALITO ,RECREATIVO,25.832737,-111.329703,2014-01-02,10:34:00,2014-01-02 10:34,19.1,31.8,7.6,6.08,0.99,1
SRS5,NOPOLO ,RECREATIVO,25.922304,-111.347746,2014-01-02,11:05:00,2014-01-02 11:05,19.87,31.8,7.5,6.08,31,1
SRS6,LA SALINITA,RECREATIVO,25.972378,-111.352629,2014-01-02,13:46:00,2014-01-02 13:46,22.15,31.8,7.87,6.08,0.99,1
SC-N1,CARCAMO MALECON,CONTROL,26.013386,-111.339279,2014-01-22,14:09:00,2014-01-22 14:09,19.95,31.8,7.69,6.08,0.99,1
SCS1,PUERTO ESCONDIDO,CONTROL,25.814849,-111.31232,2014-01-22,10:38:00,2014-01-22 10:38,19.09,31.8,7.65,6.08,10,1
SEN1,LA CANDELARIA,ESTERO,26.025014,-111.344708,2014-01-22,13:44:00,2014-01-22 13:44,22.35,31.8,7.31,6.08,41,1
SES1,ESTERO NOPOLO,RECREATIVO,25.930998,-111.356266,2014-01-22,11:21:00,2014-01-22 11:21,20.43,31.8,7.4,6.08,41,1
SRN1,LOS PANGONES,RECREATIVO,25.972378,-111.352629,2014-01-22,14:50:00,2014-01-22 14:50,22.15,31.8,7.87,6.08,0.99,1
SRN2,LA DARSENA,RECREATIVO,26.0165,-111.340808,2014-01-22,14:06:00,2014-01-22 14:06,19.98,31.8,7.65,6.08,0.99,1
SRN4,LA NEGRITA,RECREATIVO,26.022352,-111.344335,2014-01-22,13:52:00,2014-01-22 13:52,19.99,31.8,7.46,6.08,60,1
SRN5,MIL PALMAS,RECREATIVO,26.058156,-111.3283,2014-01-22,13:21:00,2014-01-22 13:21,20.25,31.8,7.61,6.08,0.99,1
SRN6,LA PICAZON,RECREATIVO,26.082873,-111.323868,2014-01-22,13:03:00,2014-01-22 13:03,20.04,31.8,7.6,6.08,0.99,1
SRS1,ENSENADA BLANCA,RECREATIVO,25.721483,-111.234901,2014-01-22,10:13:00,2014-01-22 10:13,18.46,31.8,7.59,6.08,663,0
